ཞབས་རྗེས་ཐང་,zhabjethang
དཀར་རྒྱན་ན་,karjena
ཕ་རི་ཁ་,pharikha
ཝང་རྩ་,wangtsa
གླང་འབྱོག་སྒང་,langjogang
ནོར་བུ་སྒང་,norbugang
བ་ལམ་ནང་,balamnang
སྤུ་འདུ་ནང་,pudunang
ཤར་རི་,shari
མོ་ཆུ་,mochhu
ཤེསཔ་སྦྱིས་,shepji
ཡ་བཱ་,yaba
དུམ་མཆོག་,dumchhog
དཀར་ནག་,karnag
གསང་ཀི་རི་,sangkiri
སྟག་ཆུ་,tagchhu
རྩི་ལུང་ཁ་,tsilungkha
སོམ་ཤིང་,somshing
ཞམ་གླིང་,zhamling
སྟོང་གླིང་,tongling
ངར་,ngar
གཙང་ངོ་,tsangngo
མཁོ་མ་,khoma
གྲག་སྟེང་,dragteng
འཁོལ་མ་,kholma
སབང་མཁར་,pangkhar
ཡུམ་ཆེ་,yumchhe
མཁར་ཅུང་,kharchung
ལ་གྲོང་,ladrong
ངང་ངེས་,ngangngae
བཟང་མཁར་,zangkhar
ཨོ་རྒྱན་ཕུག་,ugyenphug
ཆུ་ས་,chhusa
ཝ་ཝལ་,wawel
གདུང་དཀར་,dungkar
རྟ་སྦིས་,tabi
གཞུང་མཁར་,zhungkhar
སྨན་བྱ་སྦིས་,maenjabi
སྒོར་སྒན་,gorgan
ཕག་གི་དུང་,phagidung
མུར་མོ་,murmo
ཨུང་སྒར་,unggar
གཞོང་སྨད་,zhongmaed
གཡུ་རུང་,yurung
ཚང་ཁྲོམ་སྨད་,tshangthromaed
སྟོང་འཕྲོང་,tongthrong
ཞམ་,zham
ལེགས་ཤོ་སྒང་,legshogang
བྱ་གླང་,jalang
སྐུ་པི་ཉལ་ས་,kupinyalsa
དབང་ཞིང་,wangzhing
ཝམ་བུར་,wambur
ཨུམ་གླིང་,umling
མཚོ་ཆེན་,tshochhen
འཆར་སྦིས་,chharbi
དགུན་འབྲངས་,guendrang
མཁས་སྦི་ཤིང་,khebishing
མོར་ཕུ་,morphu
བཱ་ཀ་ཕའི་,bahkaphai
གསལ་མཁར་,selkhar
ཡངས་བ་རི་,yangbari
རྡོ་སྤང་,dopang
བཅུ་ལ་སྦི་,chulabi
ཐེམ་སྤང་,thempang
ཁ་ལང་སྦྱིས་,khalangji
གཡང་ར་སྤུང་ཤིང་,yangrapungshing
ཁེ་ཤིང་ར་,kheshingra
སྤམ་,pam
ལྕགས་ས་མཁར་,chagsakhar
བྱར་ཤིང་སྤོག་ཏོར་,jarshingpogtor
ཡེངས་ཁར་ཚིང་,yengkhartshing
ཤ་ཕང་མ་,shaphangma
ཤ་གདངས་,shadang
ཟངས་མཁར་,zangkhar
ཐུང་ད་རི་,thungdari
འབྲེས་སྤུངས་,drepung
ཤིང་སྒར་,shinggar
ཉམས་ལ་,nyamla
གཙང་མཁར་,tsangkhar
བཟུང་ལེན་,zunglen
ཝེ་རིང་ལ་,weringla
ཕ་རྫོང་,phadzong
སྐུ་མ་རྫོང་,kumadzong
ཡངས་སྦ་རི་,yangbari
སྡེང་ཀ་གླིང་,dengkaling
སང་ཀ་མ་,sangkama
དངས་ཀྱི་ལ་,dangkila
བཙང་ཁ་ཟོར་,tsangkhazor
རྩེ་ལམ་,tselam
ཡ་རག་ལ་,yaragla
གཟི་རྩི་སྦིས་,zitsibi
མུ་རུང་,murung
ཡུལ་ད་རིགས་,yuldarig
ཝ་རོང་བོ་རང་,warongborang
རྩལ་སྦིས་,tsalabi
ཤིང་ལྕོང་རི་,shingchongri
ཀེ་སྟོང་རི་,kentongri
ལྟག་ཆུ་,tagchhu
གཡག་སྤུ་བསྒང་,yagpugang
སྐྱིད་བདེ་མཁར་,kidekhar
ཕོ་སོ་རོང་,phosorong
ཝང་གླིང་,wangling
ཁ་ཀློང་,khalong
ཁྲི་ནང་ཕུ་,thrinangphu
སྒོམ་ཆུ་,gomchhu
སྤང་ཐང་,pangthang
སྤང་ཁང་,pangkhang
སྔ་ཚང་,ngatshaang
ཕ་ན་སི་,phanasi
ཟངས་ད་རི་,zangdari
སྤེལ་ཤུབས་,pelshub
ཡེ་མཁར་,yekhar
གསེང་སྒོར་,senggor
ས་གླིང་,saling
ཁྲི་དང་སྦི་,thridangbi
མ་སྲང་ད་ཟ་,masangdaza
འབྲོག་གསར་,drogsar
རེ་ས་,resa
ཡ་རབ་,yarab
མཐུ་གླིང་,thueling
གསེར་གཞོང་,serzhong
ཤི་གླིང་,shiling
སྒང་མུང་,gangmung
ཝ་མ་,wama
དག་,daag
སི་ལམ་སྦི་,silambi
རྒྱལ་གོང་,gyalong
ན་སྒོར་,nagor
ལྕང་ཤིང་,changshing
སྤང་ལེན་,panglen
ཨ་ཏོ་ལ་,atola
གླིང་མཁར་,lingkhar
ངར་རུ་སྤོང་སྟང་,ngarupongtang
སྟག་ཁམས་སྦི་,tagkhambi
ཐུམ་གླིང་,thumling
ཙ་ཀ་གླིང་,tsakaling
ཧོ་རོང་,horong
སྟོར་མ་གཞོང་,tormazhong
སྒང་ལ་སྤོངས་སྨད་,ganglapongmaed
སྒང་ལ་སྤོངས་སྟོད་,ganglapongtoed
བན་སྦྱར་,baanjar
ཏོ་ཀ་རི་,tokari
ནང་སྒོར་,nanggor
རྕིས་ཕུག་,tsiphug
ཕུ་ཆེ་ཁ་,phuchhekha
དབུས་སུ་ན་,uesuna
ཚོང་ཁ་,tshongkha
ས་ལི་,sali
སྦྱིས་པ་,jipa
སྐུ་འདུ་ཕུག་,kuduphug
འཇུ་ཀ་,juka
སྦྱིས་གཞི་སྒང་,jizhigang
ཕུ་ཤར་,phushar
ཕུ་ནུབ་,phunub
ཆུ་བར་,chhubar
ལུག་མཆོད་,lugchhoed
དགའུ་སྤལ་,gaupel
བྱང་གསར་བུ་,jangsarbu
ལུང་ཆུང་ན་,lungchhungna
ཆུ་བྱག་ཁ་,chhubjagkha
དགོན་ཁ་,goenkha
ཆུ་ཁ་,chhukha
བཙན་དོ་ནང་,tsendonang
རྒྱ་གར་ཐང་,jagarthang
སྐྱིད་ཆུ་,kyidchhu
ཤོ་མོ་,shomo
གནསམ་འབྱོག་,naemjog
འུ་ཆུ་,wuchhu
དགའ་བྲག་,gadraag
སྤང་སྦིས་ས་,pangbisa
ན་དགུ་,nagu
བྱ་དགོན་,jagoen
ཚེབས་སྦྱིས་,tshebji
གྷཟུར་སུ་ན་,zursuna
བཙུན་དགོན་,tsuengoen
ཞལ་ངོ་,zhelngo
གཞུང་སྒར་,zhunggar
ཕུ་བར་ན་,phubarna
སྒང་མཇུག་ཁ་,gangjugkha
གཡག་ས་,yagsa
ཤ་ན་,shana
ཟམ་སར་,zamsar
འཕང་དོག་,phangdo
རྟ་འཇུག་,tajug
ཁང་ཁུ་,khangkhu
གནམ་དཀར་,namkhar
སྣ་ཁ་,nakha
ཕྱི་མུང་,chhimung
རེ་སྡིང་ལ་,redingla
ལུང་མཁོ་ལོམ་,lungkholom
ཉ་སི་མཁར་,nyasikhar
ཕྱི་ཕུངས་,chhiphung
སྐྱེས་རོང་,kerong
ཤོ་གུ་རི་,shoguri
ཡར་རྒྱས་འུང་,yargyewung
དགའ་ཟ་འོང་,gazawong
ཨར་དྲན་,arden
ལ་ནང་ཟོར་,lanangzor
ཐོང་ས་,thongsa
སྨན་དྲི་,maendi
འབྲོར་ཕུང་,jorphung
གཡོམ་ཟོར་,yomzor
མཁོ་ལོམ་རི་,kholomri
རྣམ་དག་གླིང་,namdagling
དགོན་པ་འུང་,goenpawung
རི་འཛོམས་མོ་,ridzommo
གཡང་མ་ལ་ཤིང་,yangmalashing
གསེར་བསྡུ་ཝ་,serduwa
འབངས་ཡུལ་,bangyuel
ཁྲུམས་ཅུང་,thrumchung
གཟིམ་ཟོར་,zimzor
འུང་སྦོ་རང་,wungborang
ཡ་འགྱུར་,yagyur
སྦོང་མན་,bongmaan
སི་ནང་རི་,shinangri
རྩེ་བར་,tsebar
ལ་འབར་,labar
ཚྭ་ཆི་,tshatshi
ན་ནོང་,nanong
ར་གླིང་,raling
ལྟོ་ཀ་རི་,tokari
འུང་ཆི་ལུ་,wungchhilu
རིན་ཆེན་ཟོར་,rinchhenzor
ཉིང་ཤིང་སྦོ་རང་,nyingshingborang
ཚལ་ཤིང་ཟོར་,tshaelshingzor
ག་ཤ་རི་,gashari
ངང་ལམ་,nganglam
ཟླ་སྒོར་,dagor
ཤ་ལི་,shalli
ནང་སྐོར་,nangkor
བར་རྩེ་རི་,bartseri
ཡ་ལང་,yalang
ཁང་མ་,khangma
སྦང་ད་ལ་,bangdala
མཐང་སྒོ་,thunggo
མཐུང་མཁར་,thungkhar
ཡང་མཁར་,yangkhar
སྤང་ཐང་ད་ཟ་,pangthangdaza
བཟོ་སྦལ་,zobel
ཟོར་འཇུག་,zorjug
ཚེ་གླིང་སྒོར་,tshelinggor
ལྕགས་ས་,chagsa
གཞི་ཁ་,zhikha
དབུ་ས་ཁ་,usakha
ཚོགས་སྐོར་ན་,tshogkorna
སེབ་རྟོ་ཁ་,sebtokha
དངོས་གྲུབ་ཅུ་,ngoedrubchhu
བསྟན་པ་ཁ་,tenpakha
སེ་བ་ལ་,sewala
བ་ལི་,bali
ཡས་སྦིས་ས་,yebisa
ལུང་ཁ་,lungkha
དབུ་ས་,uesa
མེ་མདའ་སྒང་,mendagang
སྦྱིས་མི་ཐང་,jimithang
སྒུམ་སྒང་,gumgang
ཡོར་སྦོ་,yorbo
བྲག་ཆུ་ཁ་,draagchhukha
ས་བཅད་ནང་,sechaednang
གཞལ་ངོས་ས་,zhelngoesa
རི་རྩ་,ritsa
མཚོ་འོགམ་,tshowogm
ཝང་ཝ་ཁ་,wangwakha
བཀྲིས་ལྗོངས་,tashijong
ཝོ་ལ་ཁ་,wolakha
གཡུས་གསར་ཁ་,yuesakha
སྟོང་བཞུགས་ནང་,tongzhugnang
ཟར་སྦིས་ས་,zarbisa
དཔལ་ལྟ་རི་,peltari
ཝ་རྐུ་འདམ་ཕྱི་,wakudamchhi
གླིང་མུ་ཁ་,lingmukha
ནགས་ཕྱད་,nabchhed
དོམ་པ་ལ་,dompala
གུམ་སྐར་མོ་,gumkarmo
ཨུམ་ཏེ་ཁ་,umtekha
མདའ་སྟོང་,datong
མཐོང་སྦྱིས་,thongbji
སྒང་ཁ་,gangkha
མཚོ་ས་,tshosa
བྱ་ཞི་ཁ་,jazhikha
ལུང་ནང་ཁ་,lungnangkha
ཡོངས་གུ་,yonggu
རྟ་ལོག་,talog
གསོལ་བ་དྲང་ས་,soelwadrangsa
ཡུལ་འ་མོ་,yuelhamo
རི་ན་ཁ་,rinakha
སྨན་ཆུ་ན་,maenchhuna
མན་དྲལ་སྒང་,mendrelgang
ཚྭ་ཆུ་ཕུ་,tsachhuphu
ཐང་སྦྱིས་,thangbji
ཟླ་བ་ཁ་,dawakha
ཁ་ཝ་ཁ་,khawakha
མར་སྟངས་,martang
གདུང་དཀར་ཆོས་གླིང་,dungkharchhoeling
བང་འཚོ་,bangtsho
རི་ཤོར་,rishor
ནར་དཕུང་,narphung
རི་ཆང་ལུ་,richhanglu
དཔལ་རུང་,palrung
བདེན་ཕྱི་,denchhi
སྤྱི་གདུང་མཁར་,chidungkhar
རོང་ཆུ་ཐང་,rongchhuthang
ཨ་གུར་ཐང་,agurthang
འཇམ་དཔའ་ཎི་,jampani
གླང་ཅན་ཕུ་,langchenphu
བྱང་ས་,jangsa
རོལ་ནང་,rolnang
ལའུ་རི་,lauri
གདུང་མན་མ་,dungmanma
ཟངས་ཐིག་,zangthig
མཚོ་ཐངས་,tshothang
ཀ་ཀ་ནི་,kakani
གསར་འབྱུང་,sarjung
མར་ཚྭ་ལ་,martshala
ཝང་ཕུག་,wangphug
མཚོ་གླིང་མཁར་,tsholingkhar
མཚོ་ཙ་ལུ་,tshotsalu
རི་མུང་,rimung
བྱང་ཆུབ་གླིང་,jangchhubling
ཕི་ལུ་མ་,philuma
བསུ་གཟོངས་,suzung
འུ་གླིང་,wuling
མོ་རོང་,morong
ཝ་རོང་,warong
པདྨ་ཐང་,pemathang
ལུང་མི་ནང་,lungminang
ཤི་གླིང་རྒྱས་,shilinggye
སྨིན་ཇི་སྒང་,minjigang
བསམ་གྲུབ་ཆོས་གླིང་,samdrupchhoeling
ཕུན་ཚོགས་ཐང་,phuentshogthang
ཁ་སྨད་ཐང་,khamaedthang
གདུང་དཀར་གླིང་,dungkarling
ངང་མཚོ་ཐང་སྟོད་,ngangtshothangtoed
ངང་མཚོ་ཐང་སྨད་,ngangtshothangmaed
འདམ་ས་སྒང་སྟོད་,damsagangtoed
འདམ་ས་སྒང་སྨད་,damsagangmaed
མཚོ་བདུན་,tshoduen
མན་ཇི་འུང་,maenjiwung
དྲེན་ཕུག་,drenphug
སུས་དཀར་,suskar
གསེར་ཐིག་,serthig
བཀྲིས་ཐང་བརྒྱད་,tashithanggyed
ས་ཆི་ལོ་,sachhilo
སྦང་ཐང་,pangthang
ཤོག་ཤི་,shogshi
ཡར་ཐུག་,yarphug
གདུང་སྟོད་ཆེ་བ་,dungtoedchhewa
སྨད་སྒང་,maedgang
ཁ་གླིང་,khaling
སྐུ་བཞུགས་སྒང་,kuzhuggang
མི་འཛོམས་ས་,midzomsa
རྔ་སྒང་,ngagang
ཐིང་གཡེར་ས་,thingyersa
མཐུ་ལུང་སྒང་,thulunggang
སེང་སྟེང་,senteng
སེ་དྒེ་,singye
སྤུངས་ཁྲ་,pongthra
གཡོ་མེད་གླིང་,yomdeling
དགའ་སྦྱིས་,gabji
ཤི་ཏ་ཁ་,shitakha
དཀར་ཞིང་,karzhing
ས་གཙང་ས་,satsangsa
ཆོས་སྡེ་གླིང་,chhoedleling
ཚྭ་ཆུ་སྒང་,tshachhugang
ལམ་འགྱོ་ས་,lamjosa
སྐྱིང་ས་,kyidsa
གཡང་འཕེལ་ཐང་,yangphelthang
ཙྭ་འཕེལ་ཐང་,tsaphelthang
ཚྭ་ཆུ་,tshachhu
ཕན་སྡེ་སྒང་,phendegang
ནོར་གཡོག་,noryog
གླིང་གར་ནང་,lingarnang
སྤ་ཚ་གླིང་,patshaling
མསམ་འཕེལ་སྒང་,samphelgang
དམ་ཚང་ན་,damtshangna
དགྲ་མེད་ས་,dramedsa
ཤིང་འབྲས་སྒང་,singdregang
བཀྲ་ཤིས་ཐང་,tashithang
མཐོང་རྒྱ་སྦི་,thongjabi
གཡུལ་རྐྱལ་གླིང་,uelgyalling
ལ་ཆུང་ཐང་,lachhungthang
དུམ་ཤིང་སྒང་,dumshinggang
ཏིང་ཏིང་མ་,tingtingma
དངོས་གྲུབ་གླིང་,ngoedrubling
དཀར་སེལ་གླིང་,karseling
གསང་སྔགས་ཆོས་གླིང་,sangngangchhoeling
རྣམ་གསལ་གླིང་,namseling
ཁང་བཟང་གླིང་,khangzangling
བླ་མའི་ཐང་,lamaithang
ཕྱིར་ལོག་ས་,chhirlogsa
མཁའ་འགྲོ་ཐང་,khandothang
ཚོང་འཛོམས་,tshongdzonm
རྟ་སེར་པོ་,taserpo
ཉིན་གདུགས་ལ་ཁ་,nyinduglakha
པཱན་ཞིང་,panzhing
སྟོབས་ཆེནཐང་,tobchhenthang
ཟོ་ཆ་གླིང་,zochhaling
བསྟེན་པ་གླིང་,tenpaling
གངས་འཇུག་,gangjug
ཞི་བ་གླིང་,zhiwaling
རྐང་དུང་ཕུག་,kangdungphug
དཔལ་འབྱོར་གླིང་,peljorling
བཀྲིས་ཆོས་གླིང་,tashichhoeling
ཐགཔ་བཟོ་ས་,thagpzosa
སྟར་གོ་ཐང་,targothang
བསྟན་འབརུག་,tendruk
སྐུ་ཆེན་,kuchhen
ཀུན་དགའ་གླིང་,kuengaling
ཐར་པ་གླིང་,tharpaling
བདེ་ཆེན་སྒང་,dechhengang
དཀར་མདོག་,kardog
རིག་པའི་གླིང་,rigpailing
རྒྱ་རི་ཐང་,jarithang
འཇིགས་མེད་ཐང་,jigmedthang
རང་འབྱུང་གླིང་,rangjungling
དུང་དཀར་,dungkar
བསོད་ན་མཁར་,soenakha
བསམ་གཏན་ཆུ་,samtenchhu
སྤང་ཟོར་,pangzor
ཡུལ་གླིང་,yueling
ཤ་ཝ་སྤོང་,shawapong
བར་ཐང་,barthang
ཤེས་རབ་གླིང་,sherabling
དགའ་ལེགས་ཐང་,gaalegthang
བྲག་ཆུ་,dragchhu
འཇིགས་མེད་གླིང་,jigmedling
ནུབ་སྒང་,nubgang
བདེ་སྐྱིད་གླིང་,dekidling
དགའ་བའི་ཐང་,gawaithang
ཆོས་འཁོར་གླིང་,chhoekhorling
སྨན་ཆུ་ལམ་,maenchhulam
སང་ཁ་,sangkha
རི་གླང་ཐང་,rilangthang
དགེ་སྟེམ་ཁ་,getemkha
དགའ་སྐྱིད་གླིང་,gakidling
དཔལ་རི་ཐང་ཁ་སྟོད་,pelrithangkhatoed
དཔལ་རི་ཐང་ཁ་སྨད་,pelrithangkhamaed
འཛམ་གླིང་ཐང་,dzamlingthang
ལས་སྐྱིད་ཐང་,lekidthang
གོང་རྩེ་ཁ་,gongtsekha
དགོངས་འདུས་སྒང་,gongduegang
ཆོས་རྟེན་མཁར་,chhoetenkhar
ཁ་སྨད་,khamaed
ཁ་སྟོད་,khatoed
བསམ་ཁར་,samkhar
བསམ་གྷཏན་གླིང་,samteling
མཁན་པ་སྒང་,khenpagang
བསམ་གཏན་ཐང་,samthenthang
བདེ་ཆེན་དཔལ་རི་,dechhenpelri
རི་ཤོང་,rishong
སྙན་ཡུལ་,nyenyul
སངས་རྒྱས་ཐང་,sangyethang
བར་གཤོང་,barshong
བཀྲིས་ཕུག་,tashiphug
ཤོམ་སྤང་ཁ་,shompangkha
དར་རྒྱས་ཐང་,dargyethang
དཀོན་མཆོག་གླིང་,koenchhogling
སྒོམ་ལྕོ་ལ་,gomchola
རི་གསུམ་སྒང་,risumgang
འོད་ཟེར་སྒང་,yoedzergang
པདྨ་ཆོས་གླིང་,pemahhoeling
རྡོ་རྗེ་རྩེ་,dorjitse
དང་གླིང་,daangling
དུང་མིན་,dungmin
རི་འཇུག་,rijug
དགའ་ལྡན་,gaden
འོད་གསལ་སྤང་,yoedselpang
སྡེབ་སྲིད་,debsid
གཙང་རི་ན་,tsangrina
རྟ་ལ་ཁ་,talakha
ལྕམ་སྒང་སྨད་,chamgangmaed
ལྕམ་སྒང་སྟོད་,chamgangtoed
འདུང་འབྲོག་,dungdrog
ཝང་འབྲོག་,wangdrog
རྒྱལ་བལྟ་ལ་,gyaltala
ཝང་བ་མ་,wangbama
སྤྱི་གཞི་,chizhi
ཟངས་ལེགས་ཁ་,zanglegkha
དགེ་བསྙེན་ཁ་,genyenkha
ཟམ་ཏོག་,zamtog
རྡོ་གདན་ནང་,dodennang
སྐུ་བཞུགས་ཅན་,kuzhugchen
ཕ་ཇོ་སྡིང་,phajoding
ཆོས་འཁོར་,chhoekhor
ཞོ་ཤུལ་,zhoshuel
ཆུ་ཟར་ཁ་,chhuzarkha
ཁང་སྐྱིད་ཡུལ་,khangkidyuel
སྒང་ཡུལ་,gangyuel
ཤ་ཡུལ་,shayuel
ལྕགས་ཕུ་,chagphu
ཚ་ལུང་ན་,tshalungna
སྦྱིས་མི་ནང་,jiminang
རྣམ་སྲས་གླིང་,namsaeling
ཁ་ས་ཁྲབ་ཅུ་,khasdrapchu
སི་སི་ནང་,sisinang
སྨོན་རྕི་ཕུག་,moentsiphug
ནང་སྒོ་,nango
ཞོམ་ཐང་,zhomthang
པ་རྒོད་,pagoed
སྟག་སྲིད་ཐང་,tagsidthang
བྱང་སྒོ་ཐང་,jangothang
གདམ་སྒོ་སྐྱོང་,damgochong
རྡོ་སྟབས་པའི་ཐང་,dotaapaithang
རྟོ་བཟོ་སྟོན་,tozotoen
འཇོམ་ཕུ་,jomphu
བཀྲ་ཤང་,trashang
སྣངས་མཁར་,nangkhar
སྐུ་མུང་,kumung
མེན་ཆ་རི་,menchhari
མུག་སྟངས་མཁར་,mugtangkhar
ལེམ་ཕང་,lemphang
ཙིག་སྟུང་,tsigtum
ཚེ་མཁར་,tsekhar
ཀ་ཀ་ནི་འོག་,kakaniwog
རི་གཙང་གདུང་,ritsangdung
སྨན་འཐོང་,maanthong
ཁྲ་སྒོམ་,thragom
ཡོན་ཕུག་ལ་,yonphugla
ཤིང་ཅན་,shingchen
ལམ་ཡོངས་,lamyong
ཟོར་གདུང་,zordung
ཐྲལ་ཕུག་,threlphug
མེར་བདག་,merdag
མེ་རིང་ཟོར་,meringzor
རྟོགས་ཀ་ཕུ་,togkaphu
འཁོལ་གདུང་,kholdung
བར་ཤོང་,barshong
ལེ་མི་,lemi
ཀླུ་རྨང་,lumang
སྐུར་ཆི་ལོ་,kurchhilo
གཙང་པོ་,tsangpo
ཝ་མཁར་,wakhar
མཚོ་དགོན་པ་,tshogoenpa
མེ་རག་སྟོད་,meragtoed
མེ་རག་སྨད་,meragmaed
གྱེན་འགོ་,gyengo
ཁ་ཤཱ་སྟེངས་,khashateng
ཁི་ལི་ཕུ་,khiliphu
ཕོངས་མེད་,phongmed
