ཞབས་རྗེས་ཐང་,zhabs rjes thang
རྡོ་ཕཱམ་,rdo phAm
ཛེ་རྡོ་ཁ་,dze rdo kha
ལྷ་གསརཔ་,lha gsarapa
སྤང་འགུ་,spang 'gu
སྨད་བཏབ་སྨད་,smad btab smad
གཡུས་ཁ་,g.yus kha
བསྟན་ཆུ་ཁ་,bstan chu kha
གླིང་ལྡན་,gling ldan
སྤ་ཆུ་,spa chu
དབང་འདུས་དགའ་ཚལ་,dbang 'dus dga' tshal
དམརཔ་སྦྱིས་,dmarapa sbyis
རྡོ་ཕུ་ལ་ཁ་,rdo phu la kha
རིག་འཟིན་གླིང་,rig 'azin gling
མཚོ་ཆུང་ན་,mtsho chung na
བསོད་ནམས་ཐང་,bsod nams thang
སྤང་ན་,spang na
པད་ཚལ་ནང་,pad tshal nang
དམའ་མེད་ཐང་,dma' med thang
ཉིམ་ཏོ་ལ་,nyim to la
རྡོ་རོ་ན་ཆུང་བ་,rdo ro na chung ba
རྡོ་རོ་ན་ཆེ་བ་,rdo ro na che ba
ཚྭ་ལམ་སྦྱིས་,tshwa lam sbyis
པ་ཏ་ལ་,pa ta la
ཐང་ན་,thang na
སྤང་སེར་པོ་,spang ser po
རྟ་རྒྱུགས་,rta rgyugs
བསམ་རྟན་སྒང་,bsam rtan sgang
གེ་སར་གླིང་,ge sar gling
སྤུན་སུམ་སྒང་,spun sum sgang
བཀྲིས་ཐང་,bkris thang
སྦ་ལེགས་སྒང་,sba legs sgang
རྡོ་འགག་,rdo 'gag
སྒོ་བཞི་,sgo bzhi
སྒོ་བཞི་སྨད་,sgo bzhi smad
སྒོ་བཞི་སྟོད་,sgo bzhi stod
ལྷ་གླིང་,lha gling
སྤང་གཞི་,spang gzhi
ཁ་སྒོ་ཅན་,kha sgo can
རྣམ་རྒྱལ་སྒང་,rnam rgyal sgang
རྒྱུ་རུ་སྒང་,rgyu ru sgang
ཀརྨ་གླིང་,karma gling
ཨོམ་ཆུ་,om chu
ལབ་རྩ་ཁ་,lab rtsa kha
སྲན་ཅུམ་ཐང་,sran cum thang
བྱེ་མ་ཐང་,bye ma thang
སྤོག་ཏོག་,spog tog
དཔག་གསེར་,dpag gser
ཨ་ཁོ་ཅན་,a kho can
མཐོངམ་སྒང་,mthongam sgang
གྱིབ་ས་,gyib sa
བ་ལུང་,ba lung
ཐ་ས་,tha sa
སྐོན་པ་,skon pa
བར་ན་,bar na
སྲིད་པ་,srid pa
མཚམས་བཞི་བགོ་ས་,mtshams bzhi bgo sa
སྐྱོངས་བསམ་གླིང་,skyongs bsam gling
ལྷ་མོའི་རྫིང་ཁ་,lha mo'i rdzing kha
རླུང་བསིལ་ས་,rlung bsil sa
ཀུན་འབྲལ་ཐང་,kun 'bral thang
བྲམ་ཟེ་སྐྱེས་ས་,bram ze skyes sa
ཡར་འཕེལ་གླིང་,yar 'phel gling
དམ་ཆུ་ནང་,dam chu nang
སྒང་ཏོག་ཁ་,sgang tog kha
བཀྲིས་ལྡིང་,bkris lding
གནམ་ལྕགས་ལ་,gnam lcags la
ནོར་བུ་གླིང་,nor bu gling
སྒང་རྒྱབ་,sgang rgyab
དགེ་ལེགས་ཆུ་,dge legs chu
གཙང་ཁ་,gtsang kha
ཟིན་ཅི་ལ་,zin ci la
གུང་པ་སུམ་ཅུ་,gung pa sum cu
བཙན་མདའ་སྒང་,btsan mda' sgang
སྒང་ཟུར་སྟོད་,sgang zur stod
སྒང་ཟུར་སྨད་,sgang zur smad
ནོར་བུ་ཞིང་ཁ་,nor bu zhing kha
ས་མར་ཆུ་,sa mar chu
དཔལ་གླིང་,dpal gling
ས་སྨད་,sa smad
དཀར་གླིང་རྗིང་ཁ་,dkar gling rjing kha
བཟོ་མི་ན་,bzo mi na
རྒྱ་སྦིས་ས་,rgya sbis sa
དྭངསམ་སྦྱིས་,dwangasam sbyis
སྤ་ནི་སྐོང་,spa ni skong
ལྟར་ཤིང་ཐང་,ltar shing thang
ཕུ་ལ་ཁ་,phu la kha
མ་ནི་,ma ni
ཚདཔ་སྒང་,tshadapa sgang
ཚེ་རིང་ཁ་,tshe ring kha
རི་མི་,ri mi
ལུང་སྒོ་,lung sgo
ལུབ་ལྕགས་,lub lcags
པ་གཞི་,pa gzhi
སྟོད་སྐོར་,stod skor
དབུས་ས་ནང་,dbus sa nang
ལྷད་དི་,lhad di
མཚོ་གཞོང་,mtsho gzhong
བསྟན་བཅོས་,bstan bcos
བྱམས་དགོན་,byams dgon
རྟ་ལུང་,rta lung
ཡངས་ཐང་,yangs thang
ཡང་རྩེ་,yang rtse
ཡོ་ཁ་,yo kha
ཐང་རྡོ་ཁ་,thang rdo kha
ང་རྩེ་,nga rtse
སེར་ཏེ་ན་,ser te na
མོམ་སྦི་མཚོ་ཁ་,mom sbi mtsho kha
འ་ཏམ་,'a tam
དཀར་རྒྱན་ན་,dkar rgyan na
ཕ་རི་ཁ་,pha ri kha
ཝང་རྩ་,wang rtsa
གླང་འབྱོག་སྒང་,glang 'byog sgang
ནོར་བུ་སྒང་,nor bu sgang
བ་ལམ་ནང་,ba lam nang
སྤུ་འདུ་ནང་,spu 'du nang
ཤར་རི་,shar ri
མོ་ཆུ་,mo chu
ཤེསཔ་སྦྱིས་,shesapa sbyis
ཡ་བཱ་,ya bA
དུམ་མཆོག་,dum mchog
དཀར་ནག་,dkar nag
གསང་ཀི་རི་,gsang ki ri
སྟག་ཆུ་,stag chu
རྩི་ལུང་ཁ་,rtsi lung kha
སོམ་ཤིང་,som shing
ཞམ་གླིང་,zham gling
སྟོང་གླིང་,stong gling
ངར་,ngar
གཙང་ངོ་,gtsang ngo
མཁོ་མ་,mkho ma
གྲག་སྟེང་,grag steng
འཁོལ་མ་,'khol ma
སབང་མཁར་,sabang mkhar
ཡུམ་ཆེ་,yum che
མཁར་ཅུང་,mkhar cung
ལ་གྲོང་,la grong
ངང་ངེས་,ngang nges
བཟང་མཁར་,bzang mkhar
ཨོ་རྒྱན་ཕུག་,o rgyan phug
ཆུ་ས་,chu sa
ཝ་ཝལ་,wa wal
གདུང་དཀར་,gdung dkar
རྟ་སྦིས་,rta sbis
གཞུང་མཁར་,gzhung mkhar
སྨན་བྱ་སྦིས་,sman bya sbis
སྒོར་སྒན་,sgor sgan
ཕག་གི་དུང་,phag gi dung
མུར་མོ་,mur mo
ཨུང་སྒར་,ung sgar
གཞོང་སྨད་,gzhong smad
གཡུ་རུང་,g.yu rung
ཚང་ཁྲོམ་སྨད་,tshang khrom smad
སྟོང་འཕྲོང་,stong 'phrong
ཞམ་,zham
ལེགས་ཤོ་སྒང་,legs sho sgang
བྱ་གླང་,bya glang
སྐུ་པི་ཉལ་ས་,sku pi nyal sa
དབང་ཞིང་,dbang zhing
ཝམ་བུར་,wam bur
ཨུམ་གླིང་,um gling
མཚོ་ཆེན་,mtsho chen
འཆར་སྦིས་,'char sbis
དགུན་འབྲངས་,dgun 'brangs
མཁས་སྦི་ཤིང་,mkhas sbi shing
མོར་ཕུ་,mor phu
བཱ་ཀ་ཕའི་,bA ka pha'i
གསལ་མཁར་,gsal mkhar
ཡངས་བ་རི་,yangs ba ri
རྡོ་སྤང་,rdo spang
བཅུ་ལ་སྦི་,bcu la sbi
ཐེམ་སྤང་,them spang
ཁ་ལང་སྦྱིས་,kha lang sbyis
གཡང་ར་སྤུང་ཤིང་,g.yang ra spung shing
ཁེ་ཤིང་ར་,khe shing ra
སྤམ་,spam
ལྕགས་ས་མཁར་,lcags sa mkhar
བྱར་ཤིང་སྤོག་ཏོར་,byar shing spog tor
ཡེངས་ཁར་ཚིང་,yengs khar tshing
ཤ་ཕང་མ་,sha phang ma
ཤ་གདངས་,sha gdangs
ཟངས་མཁར་,zangs mkhar
ཐུང་ད་རི་,thung da ri
འབྲེས་སྤུངས་,'bres spungs
ཤིང་སྒར་,shing sgar
ཉམས་ལ་,nyams la
གཙང་མཁར་,gtsang mkhar
བཟུང་ལེན་,bzung len
ཝེ་རིང་ལ་,we ring la
ཕ་རྫོང་,pha rdzong
སྐུ་མ་རྫོང་,sku ma rdzong
ཡངས་སྦ་རི་,yangs sba ri
སྡེང་ཀ་གླིང་,sdeng ka gling
སང་ཀ་མ་,sang ka ma
དངས་ཀྱི་ལ་,dngas kyi la
བཙང་ཁ་ཟོར་,btsang kha zor
རྩེ་ལམ་,rtse lam
ཡ་རག་ལ་,ya rag la
གཟི་རྩི་སྦིས་,gzi rtsi sbis
མུ་རུང་,mu rung
ཡུལ་ད་རིགས་,yul da rigs
ཝ་རོང་བོ་རང་,wa rong bo rang
རྩལ་སྦིས་,rtsal sbis
ཤིང་ལྕོང་རི་,shing lcong ri
ཀེ་སྟོང་རི་,ke stong ri
ལྟག་ཆུ་,ltag chu
གཡག་སྤུ་བསྒང་,g.yag spu bsgang
སྐྱིད་བདེ་མཁར་,skyid bde mkhar
ཕོ་སོ་རོང་,pho so rong
ཝང་གླིང་,wang gling
ཁ་ཀློང་,kha klong
ཁྲི་ནང་ཕུ་,khri nang phu
སྒོམ་ཆུ་,sgom chu
སྤང་ཐང་,spang thang
སྤང་ཁང་,spang khang
སྔ་ཚང་,snga tshang
ཕ་ན་སི་,pha na si
ཟངས་ད་རི་,zangs da ri
སྤེལ་ཤུབས་,spel shubs
ཡེ་མཁར་,ye mkhar
གསེང་སྒོར་,gseng sgor
ས་གླིང་,sa gling
ཁྲི་དང་སྦི་,khri dang sbi
མ་སྲང་ད་ཟ་,ma srang da za
འབྲོག་གསར་,'brog gsar
རེ་ས་,re sa
ཡ་རབ་,ya rab
མཐུ་གླིང་,mthu gling
གསེར་གཞོང་,gser gzhong
ཤི་གླིང་,shi gling
སྒང་མུང་,sgang mung
ཝ་མ་,wa ma
དག་,dag
སི་ལམ་སྦི་,si lam sbi
རྒྱལ་གོང་,rgyal gong
ན་སྒོར་,na sgor
ལྕང་ཤིང་,lcang shing
སྤང་ལེན་,spang len
ཨ་ཏོ་ལ་,a to la
གླིང་མཁར་,gling mkhar
ངར་རུ་སྤོང་སྟང་,ngar ru spong stang
སྟག་ཁམས་སྦི་,stag khams sbi
ཐུམ་གླིང་,thum gling
ཙ་ཀ་གླིང་,tsa ka gling
ཧོ་རོང་,ho rong
སྟོར་མ་གཞོང་,stor ma gzhong
སྒང་ལ་སྤོངས་སྨད་,sgang la spongs smad
སྒང་ལ་སྤོངས་སྟོད་,sgang la spongs stod
བན་སྦྱར་,ban sbyar
ཏོ་ཀ་རི་,to ka ri
ནང་སྒོར་,nang sgor
རྕིས་ཕུག་,r+cis phug
ཕུ་ཆེ་ཁ་,phu che kha
དབུས་སུ་ན་,dbus su na
ཚོང་ཁ་,tshong kha
ས་ལི་,sa li
སྦྱིས་པ་,sbyis pa
སྐུ་འདུ་ཕུག་,sku 'du phug
འཇུ་ཀ་,'ju ka
སྦྱིས་གཞི་སྒང་,sbyis gzhi sgang
ཕུ་ཤར་,phu shar
ཕུ་ནུབ་,phu nub
ཆུ་བར་,chu bar
ལུག་མཆོད་,lug mchod
དགའུ་སྤལ་,dga'u spal
བྱང་གསར་བུ་,byang gsar bu
ལུང་ཆུང་ན་,lung chung na
ཆུ་བྱག་ཁ་,chu byag kha
དགོན་ཁ་,dgon kha
ཆུ་ཁ་,chu kha
བཙན་དོ་ནང་,btsan do nang
རྒྱ་གར་ཐང་,rgya gar thang
སྐྱིད་ཆུ་,skyid chu
ཤོ་མོ་,sho mo
གནསམ་འབྱོག་,gnasam 'byog
འུ་ཆུ་,'u chu
དགའ་བྲག་,dga' brag
སྤང་སྦིས་ས་,spang sbis sa
ན་དགུ་,na dgu
བྱ་དགོན་,bya dgon
ཚེབས་སྦྱིས་,tshebs sbyis
གྷཟུར་སུ་ན་,g+hazur su na
བཙུན་དགོན་,btsun dgon
ཞལ་ངོ་,zhal ngo
གཞུང་སྒར་,gzhung sgar
ཕུ་བར་ན་,phu bar na
སྒང་མཇུག་ཁ་,sgang mjug kha
གཡག་ས་,g.yag sa
ཤ་ན་,sha na
ཟམ་སར་,zam sar
འཕང་དོག་,'phang dog
རྟ་འཇུག་,rta 'jug
ཁང་ཁུ་,khang khu
གནམ་དཀར་,gnam dkar
སྣ་ཁ་,sna kha
ཕྱི་མུང་,phyi mung
རེ་སྡིང་ལ་,re sding la
ལུང་མཁོ་ལོམ་,lung mkho lom
ཉ་སི་མཁར་,nya si mkhar
ཕྱི་ཕུངས་,phyi phungs
སྐྱེས་རོང་,skyes rong
ཤོ་གུ་རི་,sho gu ri
ཡར་རྒྱས་འུང་,yar rgyas 'ung
དགའ་ཟ་འོང་,dga' za 'ong
ཨར་དྲན་,ar dran
ལ་ནང་ཟོར་,la nang zor
ཐོང་ས་,thong sa
སྨན་དྲི་,sman dri
འབྲོར་ཕུང་,'bror phung
གཡོམ་ཟོར་,g.yom zor
མཁོ་ལོམ་རི་,mkho lom ri
རྣམ་དག་གླིང་,rnam dag gling
དགོན་པ་འུང་,dgon pa 'ung
རི་འཛོམས་མོ་,ri 'dzoms mo
གཡང་མ་ལ་ཤིང་,g.yang ma la shing
གསེར་བསྡུ་ཝ་,gser bsdu wa
འབངས་ཡུལ་,'bangs yul
ཁྲུམས་ཅུང་,khrums cung
གཟིམ་ཟོར་,gzim zor
འུང་སྦོ་རང་,'ung sbo rang
ཡ་འགྱུར་,ya 'gyur
སྦོང་མན་,sbong man
སི་ནང་རི་,si nang ri
རྩེ་བར་,rtse bar
ལ་འབར་,la 'bar
ཚྭ་ཆི་,tshwa chi
ན་ནོང་,na nong
ར་གླིང་,ra gling
ལྟོ་ཀ་རི་,lto ka ri
འུང་ཆི་ལུ་,'ung chi lu
རིན་ཆེན་ཟོར་,rin chen zor
ཉིང་ཤིང་སྦོ་རང་,nying shing sbo rang
ཚལ་ཤིང་ཟོར་,tshal shing zor
ག་ཤ་རི་,ga sha ri
ངང་ལམ་,ngang lam
ཟླ་སྒོར་,zla sgor
ཤ་ལི་,sha li
ནང་སྐོར་,nang skor
བར་རྩེ་རི་,bar rtse ri
ཡ་ལང་,ya lang
ཁང་མ་,khang ma
སྦང་ད་ལ་,sbang da la
མཐང་སྒོ་,mthang sgo
མཐུང་མཁར་,mthung mkhar
ཡང་མཁར་,yang mkhar
སྤང་ཐང་ད་ཟ་,spang thang da za
བཟོ་སྦལ་,bzo sbal
ཟོར་འཇུག་,zor 'jug
ཚེ་གླིང་སྒོར་,tshe gling sgor
ལྕགས་ས་,lcags sa
གཞི་ཁ་,gzhi kha
དབུ་ས་ཁ་,dbu sa kha
ཚོགས་སྐོར་ན་,tshogs skor na
སེབ་རྟོ་ཁ་,seb rto kha
དངོས་གྲུབ་ཅུ་,dngos grub cu
བསྟན་པ་ཁ་,bstan pa kha
སེ་བ་ལ་,se ba la
བ་ལི་,ba li
ཡས་སྦིས་ས་,yas sbis sa
ལུང་ཁ་,lung kha
དབུ་ས་,dbu sa
མེ་མདའ་སྒང་,me mda' sgang
སྦྱིས་མི་ཐང་,sbyis mi thang
སྒུམ་སྒང་,sgum sgang
ཡོར་སྦོ་,yor sbo
བྲག་ཆུ་ཁ་,brag chu kha
ས་བཅད་ནང་,sa bcad nang
གཞལ་ངོས་ས་,gzhal ngos sa
རི་རྩ་,ri rtsa
མཚོ་འོགམ་,mtsho 'ogam
ཝང་ཝ་ཁ་,wang wa kha
བཀྲིས་ལྗོངས་,bkris ljongs
ཝོ་ལ་ཁ་,wo la kha
གཡུས་གསར་ཁ་,g.yus gsar kha
སྟོང་བཞུགས་ནང་,stong bzhugs nang
ཟར་སྦིས་ས་,zar sbis sa
དཔལ་ལྟ་རི་,dpal lta ri
ཝ་རྐུ་འདམ་ཕྱི་,wa rku 'dam phyi
གླིང་མུ་ཁ་,gling mu kha
ནགས་ཕྱད་,nags phyad
དོམ་པ་ལ་,dom pa la
གུམ་སྐར་མོ་,gum skar mo
ཨུམ་ཏེ་ཁ་,um te kha
མདའ་སྟོང་,mda' stong
མཐོང་སྦྱིས་,mthong sbyis
སྒང་ཁ་,sgang kha
མཚོ་ས་,mtsho sa
བྱ་ཞི་ཁ་,bya zhi kha
ལུང་ནང་ཁ་,lung nang kha
ཡོངས་གུ་,yongs gu
རྟ་ལོག་,rta log
གསོལ་བ་དྲང་ས་,gsol ba drang sa
ཡུལ་འ་མོ་,yul 'a mo
རི་ན་ཁ་,ri na kha
སྨན་ཆུ་ན་,sman chu na
མན་དྲལ་སྒང་,man dral sgang
ཚྭ་ཆུ་ཕུ་,tshwa chu phu
ཐང་སྦྱིས་,thang sbyis
ཟླ་བ་ཁ་,zla ba kha
ཁ་ཝ་ཁ་,kha wa kha
མར་སྟངས་,mar stangs
གདུང་དཀར་ཆོས་གླིང་,gdung dkar chos gling
བང་འཚོ་,bang 'tsho
རི་ཤོར་,ri shor
ནར་དཕུང་,nar daphung
རི་ཆང་ལུ་,ri chang lu
དཔལ་རུང་,dpal rung
བདེན་ཕྱི་,bden phyi
སྤྱི་གདུང་མཁར་,spyi gdung mkhar
རོང་ཆུ་ཐང་,rong chu thang
ཨ་གུར་ཐང་,a gur thang
འཇམ་དཔའ་ཎི་,'jam dpa' Ni
གླང་ཅན་ཕུ་,glang can phu
བྱང་ས་,byang sa
རོལ་ནང་,rol nang
ལའུ་རི་,la'u ri
གདུང་མན་མ་,gdung man ma
ཟངས་ཐིག་,zangs thig
མཚོ་ཐངས་,mtsho thangs
ཀ་ཀ་ནི་,ka ka ni
གསར་འབྱུང་,gsar 'byung
མར་ཚྭ་ལ་,mar tshwa la
ཝང་ཕུག་,wang phug
མཚོ་གླིང་མཁར་,mtsho gling mkhar
མཚོ་ཙ་ལུ་,mtsho tsa lu
རི་མུང་,ri mung
བྱང་ཆུབ་གླིང་,byang chub gling
ཕི་ལུ་མ་,phi lu ma
བསུ་གཟོངས་,bsu gzongs
འུ་གླིང་,'u gling
མོ་རོང་,mo rong
ཝ་རོང་,wa rong
པདྨ་ཐང་,pad+ma thang
ལུང་མི་ནང་,lung mi nang
ཤི་གླིང་རྒྱས་,shi gling rgyas
སྨིན་ཇི་སྒང་,smin ji sgang
བསམ་གྲུབ་ཆོས་གླིང་,bsam grub chos gling
ཕུན་ཚོགས་ཐང་,phun tshogs thang
ཁ་སྨད་ཐང་,kha smad thang
གདུང་དཀར་གླིང་,gdung dkar gling
ངང་མཚོ་ཐང་སྟོད་,ngang mtsho thang stod
ངང་མཚོ་ཐང་སྨད་,ngang mtsho thang smad
འདམ་ས་སྒང་སྟོད་,'dam sa sgang stod
འདམ་ས་སྒང་སྨད་,'dam sa sgang smad
མཚོ་བདུན་,mtsho bdun
མན་ཇི་འུང་,man ji 'ung
དྲེན་ཕུག་,dren phug
སུས་དཀར་,sus dkar
གསེར་ཐིག་,gser thig
བཀྲིས་ཐང་བརྒྱད་,bkris thang brgyad
ས་ཆི་ལོ་,sa chi lo
སྦང་ཐང་,sbang thang
ཤོག་ཤི་,shog shi
ཡར་ཐུག་,yar thug
གདུང་སྟོད་ཆེ་བ་,gdung stod che ba
སྨད་སྒང་,smad sgang
ཁ་གླིང་,kha gling
སྐུ་བཞུགས་སྒང་,sku bzhugs sgang
མི་འཛོམས་ས་,mi 'dzoms sa
རྔ་སྒང་,rnga sgang
ཐིང་གཡེར་ས་,thing g.yer sa
མཐུ་ལུང་སྒང་,mthu lung sgang
སེང་སྟེང་,seng steng
སེ་དྒེ་,se d+ge
སྤུངས་ཁྲ་,spungs khra
གཡོ་མེད་གླིང་,g.yo med gling
དགའ་སྦྱིས་,dga' sbyis
ཤི་ཏ་ཁ་,shi ta kha
དཀར་ཞིང་,dkar zhing
ས་གཙང་ས་,sa gtsang sa
ཆོས་སྡེ་གླིང་,chos sde gling
ཚྭ་ཆུ་སྒང་,tshwa chu sgang
ལམ་འགྱོ་ས་,lam 'gyo sa
སྐྱིང་ས་,skying sa
གཡང་འཕེལ་ཐང་,g.yang 'phel thang
ཙྭ་འཕེལ་ཐང་,tswa 'phel thang
ཚྭ་ཆུ་,tshwa chu
ཕན་སྡེ་སྒང་,phan sde sgang
ནོར་གཡོག་,nor g.yog
གླིང་གར་ནང་,gling gar nang
སྤ་ཚ་གླིང་,spa tsha gling
མསམ་འཕེལ་སྒང་,masam 'phel sgang
དམ་ཚང་ན་,dam tshang na
དགྲ་མེད་ས་,dgra med sa
ཤིང་འབྲས་སྒང་,shing 'bras sgang
བཀྲ་ཤིས་ཐང་,bkra shis thang
མཐོང་རྒྱ་སྦི་,mthong rgya sbi
གཡུལ་རྐྱལ་གླིང་,g.yul rkyal gling
ལ་ཆུང་ཐང་,la chung thang
དུམ་ཤིང་སྒང་,dum shing sgang
ཏིང་ཏིང་མ་,ting ting ma
དངོས་གྲུབ་གླིང་,dngos grub gling
དཀར་སེལ་གླིང་,dkar sel gling
གསང་སྔགས་ཆོས་གླིང་,gsang sngags chos gling
རྣམ་གསལ་གླིང་,rnam gsal gling
ཁང་བཟང་གླིང་,khang bzang gling
བླ་མའི་ཐང་,bla ma'i thang
ཕྱིར་ལོག་ས་,phyir log sa
མཁའ་འགྲོ་ཐང་,mkha' 'gro thang
ཚོང་འཛོམས་,tshong 'dzoms
རྟ་སེར་པོ་,rta ser po
ཉིན་གདུགས་ལ་ཁ་,nyin gdugs la kha
པཱན་ཞིང་,pAn zhing
སྟོབས་ཆེནཐང་,stobs chenathang
ཟོ་ཆ་གླིང་,zo cha gling
བསྟེན་པ་གླིང་,bsten pa gling
གངས་འཇུག་,gangs 'jug
ཞི་བ་གླིང་,zhi ba gling
རྐང་དུང་ཕུག་,rkang dung phug
དཔལ་འབྱོར་གླིང་,dpal 'byor gling
བཀྲིས་ཆོས་གླིང་,bkris chos gling
ཐགཔ་བཟོ་ས་,thagapa bzo sa
སྟར་གོ་ཐང་,star go thang
བསྟན་འབརུག་,bstan 'barug
སྐུ་ཆེན་,sku chen
ཀུན་དགའ་གླིང་,kun dga' gling
ཐར་པ་གླིང་,thar pa gling
བདེ་ཆེན་སྒང་,bde chen sgang
དཀར་མདོག་,dkar mdog
རིག་པའི་གླིང་,rig pa'i gling
རྒྱ་རི་ཐང་,rgya ri thang
འཇིགས་མེད་ཐང་,'jigs med thang
རང་འབྱུང་གླིང་,rang 'byung gling
དུང་དཀར་,dung dkar
བསོད་ན་མཁར་,bsod na mkhar
བསམ་གཏན་ཆུ་,bsam gtan chu
སྤང་ཟོར་,spang zor
ཡུལ་གླིང་,yul gling
ཤ་ཝ་སྤོང་,sha wa spong
བར་ཐང་,bar thang
ཤེས་རབ་གླིང་,shes rab gling
དགའ་ལེགས་ཐང་,dga' legs thang
བྲག་ཆུ་,brag chu
འཇིགས་མེད་གླིང་,'jigs med gling
ནུབ་སྒང་,nub sgang
བདེ་སྐྱིད་གླིང་,bde skyid gling
དགའ་བའི་ཐང་,dga' ba'i thang
ཆོས་འཁོར་གླིང་,chos 'khor gling
སྨན་ཆུ་ལམ་,sman chu lam
སང་ཁ་,sang kha
རི་གླང་ཐང་,ri glang thang
དགེ་སྟེམ་ཁ་,dge stem kha
དགའ་སྐྱིད་གླིང་,dga' skyid gling
དཔལ་རི་ཐང་ཁ་སྟོད་,dpal ri thang kha stod
དཔལ་རི་ཐང་ཁ་སྨད་,dpal ri thang kha smad
འཛམ་གླིང་ཐང་,'dzam gling thang
ལས་སྐྱིད་ཐང་,las skyid thang
གོང་རྩེ་ཁ་,gong rtse kha
དགོངས་འདུས་སྒང་,dgongs 'dus sgang
ཆོས་རྟེན་མཁར་,chos rten mkhar
ཁ་སྨད་,kha smad
ཁ་སྟོད་,kha stod
བསམ་ཁར་,bsam khar
བསམ་གྷཏན་གླིང་,bsam g+hatan gling
མཁན་པ་སྒང་,mkhan pa sgang
བསམ་གཏན་ཐང་,bsam gtan thang
བདེ་ཆེན་དཔལ་རི་,bde chen dpal ri
རི་ཤོང་,ri shong
སྙན་ཡུལ་,snyan yul
སངས་རྒྱས་ཐང་,sangs rgyas thang
བར་གཤོང་,bar gshong
བཀྲིས་ཕུག་,bkris phug
ཤོམ་སྤང་ཁ་,shom spang kha
དར་རྒྱས་ཐང་,dar rgyas thang
དཀོན་མཆོག་གླིང་,dkon mchog gling
སྒོམ་ལྕོ་ལ་,sgom lco la
རི་གསུམ་སྒང་,ri gsum sgang
འོད་ཟེར་སྒང་,'od zer sgang
པདྨ་ཆོས་གླིང་,pad+ma chos gling
རྡོ་རྗེ་རྩེ་,rdo rje rtse
དང་གླིང་,dang gling
དུང་མིན་,dung min
རི་འཇུག་,ri 'jug
དགའ་ལྡན་,dga' ldan
འོད་གསལ་སྤང་,'od gsal spang
སྡེབ་སྲིད་,sdeb srid
གཙང་རི་ན་,gtsang ri na
རྟ་ལ་ཁ་,rta la kha
ལྕམ་སྒང་སྨད་,lcam sgang smad
ལྕམ་སྒང་སྟོད་,lcam sgang stod
འདུང་འབྲོག་,'dung 'brog
ཝང་འབྲོག་,wang 'brog
རྒྱལ་བལྟ་ལ་,rgyal blta la
ཝང་བ་མ་,wang ba ma
སྤྱི་གཞི་,spyi gzhi
ཟངས་ལེགས་ཁ་,zangs legs kha
དགེ་བསྙེན་ཁ་,dge bsnyen kha
ཟམ་ཏོག་,zam tog
རྡོ་གདན་ནང་,rdo gdan nang
སྐུ་བཞུགས་ཅན་,sku bzhugs can
ཕ་ཇོ་སྡིང་,pha jo sding
