板橋,Panchiao
南澳,Nan-ao
竹北,Chupei
關西,Kuanhsi
新埔,Hsinpu
竹東,Chutung
湖口,Hukou
橫山,Hengshan
新豐,Hsinfeng
芎林,Chiunglin
寶山,Paoshan
北埔,Peipu
峨眉,Omei
尖石,Chientan
五峰,Wufeng
苗栗,Miaoli
頭份,Toufen
苑裡,Yuanli
通霄,Tunghsiao
竹南,Chunan
後龍,Houlung
卓蘭,Cholan
大湖,Tahu
公館,Kungkuan
銅鑼,Tunglo
南庄,Nanchuang
頭屋,Touwu
三義,San-i
西湖,Hsihu
造橋,Tsaochiao
三灣,Sanwan
獅潭,Shihtan
泰安,Tai-an
彰化,Changhua
員林,Yuanlin
鹿港,Lukang
和美,Homei
北斗,Peitou
溪湖,Chihu
田中,Tienchung
二林,Erhlin
線西,Hsienhsi
伸港,Shenkang
福興,Fuhsing
秀水,Hsiushui
花壇,Huatan
芬園,Fenyuan
大村,Tatsun
埔鹽,Puyen
埔心,Puhsin
永靖,Yungching
社頭,Shetou
二水,Erhshui
田尾,Tienwei
埤頭,Pitou
芳苑,Fangyuan
大城,Tacheng
竹塘,Chutang
溪州,Chichou
南投,Nantou
埔里,Puli
草屯,Tsaotun
竹山,Chushan
集集,Chichi
名間,Mingchien
鹿谷,Luku
中寮,Chungliao
魚池,Yuchih
國姓,Kuohsing
水里,Shuili
仁愛,Jen-ai
斗六,Touliu
斗南,Tounan
虎尾,Huwei
西螺,Hsilo
土庫,Tuku
北港,Peikang
古坑,Kukeng
大埤,Tapi
莿桐,Tzutung
林內,Linnei
二崙,Erhlun
崙背,Lunpei
麥寮,Mailiao
褒忠,Paochung
臺西,Taihsi
元長,Yuanchang
四湖,Ssuhu
口湖,Kouhu
水林,Shuilin
太保,Taipao
朴子,Potzu
布袋,Putai
大林,Talin
民雄,Minhsiung
溪口,Chikou
新港,Hsinkang
六腳,Liuchiao
東石,Tungtan
義竹,Ichu
鹿草,Lutsao
水上,Shuishang
中埔,Chungpu
竹崎,Chuchi
梅山,Meishan
番路,Fanlu
大埔,Tapu
阿里山,Alishan
屏東,Pingtung
潮州,Chaochou
東港,Tungkang
恆春,Hengchun
萬丹,Wantan
長治,Changchih
麟洛,Linlo
九如,Chiuju
里港,Likang
鹽埔,Yenpu
高樹,Kaoshu
萬巒,Wanluan
內埔,Neipu
竹田,Chutien
新埤,Hsinpi
枋寮,Fangliao
新園,Hsinyuan
崁頂,Kanting
林邊,Linpien
南州,Nanchou
佳冬,Chiatung
琉球,Liuchiu
車城,Checheng
滿州,Manchou
枋山,Fangshan
三地門,Santemen
霧臺,Wutai
瑪家,Machia
泰武,Taiwu
來義,Lai-i
春日,Chunjih
獅子,Shihtzu
牡丹,Mutan
臺東,Taitung
成功,Chengkung
關山,Kuanshan
卑南,Peinan
大武,Tawu
太麻里,Taimali
東河,Tungho
長濱,Changpin
鹿野,Luyeh
池上,Chihshang
綠島,Lutao
延平,Yenping
海端,Haituan
達仁,Tajen
金峰,Chinfeng
蘭嶼,Lanyu
花蓮,Hualien
鳳林,Fenglin
玉里,Yuli
新城,Hsincheng
吉安,Chi-an
壽豐,Shoufeng
光復,Kuangfu
豐濱,Fengpin
瑞穗,Juisui
富里,Fuli
秀林,Hsiulin
萬榮,Wanjung
卓溪,Chochi
馬公,Makung
湖西,Huhsi
白沙,Paisha
西嶼,Hsiyu
望安,Wang-an
七美,Chimei
七堵,Chitu
暖暖,Nuannuan
安樂,Anle
香山,Hsiangshan
金城,Chincheng
金湖,Chinhu
金沙,Chinsha
金寧,Chinning
烈嶼,Liehyu
烏坵,Wuchiu
南竿,Nankan
北竿,Peikan
莒光,Chukuang
東引,Tungyin
